State,Store Name,Store Address,Store Timings,Store Name + State,latitude,longitude
New Delhi,KAROL BAGH,"Shop No. 5/15, Ajmal Khan Road, Karol Bagh, New Delhi - 110005",11:00 AM to 9:00 PM,"KAROL BAGH, New Delhi",28.65048,77.1887
New Delhi,AMBIENCE MALL,"F - 102&103, Plot No. 2, Nelson Mandela Marg, Vasant Kunj 2, New Delhi",11:00 AM to 10:00 PM,"AMBIENCE MALL, New Delhi",28.54083,77.15538
New Delhi,KAMLA NAGAR,"13ub, Jawahar Nagar, Bunglow Road, Kamla Nagar, New Delhi",11:00 AM to 9:15 PM,"KAMLA NAGAR, New Delhi",28.68373,77.20158
New Delhi,PARSVNATH MALL,"Ground Floor-18,19,20,46,47 & 48 At Parsvnath Mall At Akshardham Metro Station, New Delhi",11:00 AM to 10:00 PM,"PARSVNATH MALL, New Delhi",28.61792,77.27995
New Delhi,KOHAT ENCLAVE,"Plot No: 4, Ground Floor, Kohat Enclave, Pitampura, Near Kohat Metro Station, New Delhi",11:00 AM to 9:30 PM,"KOHAT ENCLAVE, New Delhi",28.69659,77.13892
New Delhi,RAJOURI GARDEN,"F-130, Rajouri Garden Main Market, New Delhi",11:00 AM to 9:30 PM,"RAJOURI GARDEN, New Delhi",28.64562,77.12209
New Delhi,PREET VIHAR,"C-59, Ground Floor, Preet Vihar, Vikas Marg, New Delhi",11:00 AM to 9:30 PM,"PREET VIHAR, New Delhi",28.63902,77.29598
New Delhi,GREATER KAILASH 1,"M-56, Greater Kailash-1, M-block Market, New Delhi",11:00 AM to 10:00 PM,"GREATER KAILASH 1, New Delhi",28.55291,77.23723
New Delhi,MALVIYA NAGAR,"D - 81, Main Market Road, Malviya Nagar, New Delhi",11:00 AM to 9:30 PM,"MALVIYA NAGAR, New Delhi",28.53384,77.20695
New Delhi,WORLDMARK AEROCITY,"Worldmark1, Aerocity",11:00 AM to 10:00 PM,"WORLDMARK AEROCITY, New Delhi",28.55093,77.12242
New Delhi,MODEL TOWN PHASE 2,"H-4/3, Ground Floor, Model Town 2, New Delhi - 110019",11:00 AM to 9:30 PM,"MODEL TOWN PHASE 2, New Delhi",28.7067,77.19316
Noida,LOGIX MALL,Miniso 1st Floor Logix City Centre Mall Sector 32 Noida Uttar Pradesh 201301,10:45 AM to 8:30 PM,"LOGIX MALL, Noida",28.58205,77.36515
Noida,GVM MALL,"Grand Venice Mall, Plot No. Sh-4, Surajpur Industrial Area, Greater Noida, 201308",11:00 AM to 7:30 PM,"GVM MALL, Noida",28.56891911,77.33872481
Noida,MOI,"D15,miniso,ground Floor,dlf Mall Of India ,nodiasec-18,pincode:-201301
",11:00 AM to 9:30 PM,"MOI, Noida",28.53342,77.3819
Noida,DLF MALL OF INDIA,"Plot No. M-03, Sector 18, Noida, D10a, 10b, D51 & D52, Lower Ground Floor",11:00 AM to 10:00 PM,"DLF MALL OF INDIA, Noida",28.56792,77.32163
Noida,LOGIX CITY CENTER,"Shop No. 113, First Floor, Logix City Center Mall, Noida City Center, Near Noida City Center Metro Station",11:00 AM to 10:00 PM,"LOGIX CITY CENTER, Noida",28.57318,77.35449
Panchkula,PANCHKULA,"Sco 343, Sector-9, Panchkula-134109",10:30 AM - 09:00 PM,"PANCHKULA, Panchkula",30.70457,76.86396
Panipat,PANIPAT,"173-l Ram Lal Chowk , Model Town Panipat Haryana 132103",10:30 AM - 09:00 PM,"PANIPAT, Panipat",29.38747,76.96825
PATIALA,MINISO PATIALA,"Near Dav Public School Bhupindra Road, Patiala, Punjab",11:00 AM - 10:00 PM,"MINISO PATIALA, PATIALA",30.33625,76.3922
Patna,MINISO NAVYUG MARKET,"


city Centre ,budh Market ,opp Fire Station Patna , Bihar


",10:00 AM to 9:00 PM,"MINISO NAVYUG MARKET, Patna",25.60129,85.13752
Patna,MINISO PATNA,"City Centre ,budh Market ,opp Fire Station Patna , Bihar",10:00 AM to 9:00 PM,"MINISO PATNA, Patna",25.60129,85.13752
Patna,KANKARBAGH PATNA,"Nidhi Business Centre Miniso Store Kankarbagh Colony,patna, Bihar (800020)",11:00 AM to 10:00 PM,"KANKARBAGH PATNA, Patna",25.59255,85.14625
